Table 6.5 Percentile rank of detailed occupations by skills category, 2023;;;;;;;;;;;;;;;;;;
2023 National Employment Matrix title;2023 National Employment Matrix code;Adaptability;Computers and information technology;Creativity and innovation;Critical and analytical thinking;Customer service;Detail oriented;Fine motor;Interpersonal;Leadership;Mathematics;Mechanical;Physical strength and stamina;Problem solving and decision making;Project management;Science;Speaking and listening;Writing and reading
Chief executives;11-1011;89;78;93;99;94;59;16;86;100;89;32;18;100;100;54;97;95
General and operations managers;11-1021;80;59;77;77;79;41;15;78;96;71;38;32;95;98;46;71;75
Legislators[1];11-1031;89;78;93;99;94;59;16;86;100;89;32;18;100;100;54;97;95
Advertising and promotions managers;11-2011;70;71;95;70;77;24;13;65;58;74;14;12;77;88;21;93;66
Marketing managers;11-2021;68;67;93;84;76;22;14;69;92;82;7;13;91;93;18;88;66
Sales managers;11-2022;87;57;91;83;95;1;11;77;98;79;23;16;78;97;30;87;72
Public relations managers[1];11-2032;74;53;90;68;84;52;3;72;82;13;4;10;76;85;11;98;84
Fundraising managers[1];11-2033;65;69;83;70;87;13;11;82;80;69;18;11;67;91;6;92;80
Administrative services managers;11-3012;73;67;65;69;70;41;25;72;91;58;48;35;58;99;23;65;71
Facilities managers[1];11-3013;80;59;77;77;79;41;15;78;96;71;38;32;95;98;46;71;75
Computer and information systems managers;11-3021;65;98;72;95;51;73;35;58;95;80;40;18;93;97;25;58;73
Financial managers;11-3031;66;73;50;74;64;66;22;77;97;94;16;11;87;91;3;83;72
Industrial production managers;11-3051;73;60;65;86;43;69;38;62;95;88;70;43;94;97;55;71;63
Purchasing managers;11-3061;85;85;77;83;68;42;0;73;98;87;21;14;78;98;23;83;71
Transportation, storage, and distribution managers;11-3071;68;55;70;78;71;38;24;58;95;85;43;30;88;97;41;70;68
Compensation and benefits managers;11-3111;71;65;56;75;44;33;4;67;84;84;1;6;81;92;1;76;81
Human resources managers;11-3121;96;58;71;82;68;50;22;85;99;67;8;13;97;94;16;90;90
Training and development managers;11-3131;92;58;85;81;62;6;19;83;99;63;13;12;83;99;24;91;87
Farmers, ranchers, and other agricultural managers;11-9013;44;35;74;72;45;20;52;51;88;73;76;56;84;98;90;53;56
Construction managers;11-9021;68;73;52;80;66;61;17;57;97;89;43;38;92;100;69;68;64
Education and childcare administrators, preschool and daycare;11-9031;86;51;88;60;87;76;23;90;98;69;23;40;91;97;51;76;72
Education administrators, kindergarten through secondary;11-9032;87;62;95;94;96;28;16;95;100;83;22;37;99;99;38;97;97
Education administrators, postsecondary;11-9033;85;52;92;78;63;36;1;79;94;68;3;12;97;96;25;91;90
Education administrators, all other[1];11-9039;86;56;93;84;85;38;12;89;98;76;17;32;97;99;35;94;92
Architectural and engineering managers;11-9041;78;83;93;82;59;34;27;50;96;96;42;14;91;92;81;82;82
Food service managers;11-9051;61;40;38;54;95;32;52;76;88;79;49;60;55;91;48;60;47
Gambling managers;11-9071;72;65;48;73;96;80;23;74;93;91;34;40;92;91;25;73;57
Entertainment and recreation managers, except gambling[1];11-9072;82;43;94;49;72;34;21;91;87;36;45;63;43;94;27;81;47
Lodging managers;11-9081;96;77;85;65;97;47;27;92;98;89;49;43;95;95;29;95;70
Medical and health services managers;11-9111;97;93;75;98;82;32;16;85;100;71;25;24;87;100;69;85;86
Natural sciences managers;11-9121;84;92;76;95;34;62;23;56;97;87;47;31;80;98;95;78;89
Postmasters and mail superintendents;11-9131;78;81;59;72;94;30;17;76;97;72;40;39;72;96;25;89;67
Property, real estate, and community association managers;11-9141;70;61;43;54;88;30;6;65;93;83;32;21;54;96;36;71;66
Social and community service managers;11-9151;98;74;88;80;83;39;28;92;95;68;24;26;94;89;47;86;70
Emergency management directors;11-9161;90;82;79;89;77;16;19;90;97;64;45;33;87;97;71;94;84
Funeral home managers;11-9171;63;65;38;29;95;56;22;92;76;53;39;39;53;76;65;72;62
Personal service managers, all other[1];11-9179;63;65;38;29;95;56;22;92;76;53;39;39;53;76;65;72;62
Managers, all other[1];11-9199;74;54;72;76;72;36;26;74;96;80;46;37;87;98;70;76;68
Agents and business managers of artists, performers, and athletes;13-1011;44;42;96;46;65;42;4;64;24;38;1;5;61;52;8;84;63
Buyers and purchasing agents;13-1020;71;62;61;71;66;63;6;54;72;88;21;22;88;97;29;67;63
Claims adjusters, examiners, and investigators;13-1031;83;94;43;74;93;58;29;70;19;82;20;19;94;68;42;64;82
Insurance appraisers, auto damage;13-1032;38;86;22;42;96;40;34;56;11;56;56;36;78;75;17;51;61
Compliance officers;13-1041;45;62;42;64;88;67;37;61;22;45;39;46;45;47;22;69;67
Cost estimators;13-1051;37;79;51;86;18;21;2;15;50;98;13;4;59;93;60;56;71
Human resources specialists;13-1071;80;76;53;56;66;52;25;82;75;23;3;19;61;75;4;85;73
Farm labor contractors;13-1074;1;22;2;7;32;12;29;42;57;41;45;46;34;31;25;40;13
Labor relations specialists;13-1075;52;42;61;65;52;19;1;70;59;49;9;10;75;62;6;82;80
Logisticians;13-1081;64;83;71;90;64;25;10;59;89;86;24;16;76;96;40;73;66
Project management specialists[1];13-1082;93;97;72;89;73;29;4;77;99;75;26;12;77;100;52;83;91
Management analysts;13-1111;87;85;84;97;69;46;6;75;88;82;17;13;94;88;37;87;94
Meeting, convention, and event planners;13-1121;93;64;94;72;95;24;31;84;93;61;50;46;93;99;33;81;77
Fundraisers;13-1131;65;69;83;70;87;13;11;82;80;69;18;11;67;91;6;92;80
Compensation, benefits, and job analysis specialists;13-1141;71;68;66;86;31;63;15;50;39;84;9;6;67;61;49;56;64
Training and development specialists;13-1151;87;54;84;79;58;1;8;79;89;38;16;17;56;83;24;96;84
Market research analysts and marketing specialists;13-1161;53;86;82;97;61;46;4;26;56;92;6;2;77;80;28;78;94
Business operations specialists, all other[1];13-1199;75;83;71;82;68;39;14;67;79;71;19;20;79;90;29;81;81
Accountants and auditors;13-2011;54;79;44;85;46;78;10;48;79;97;8;4;74;89;14;55;76
Property appraisers and assessors[1];13-2020;35;67;24;67;55;31;22;28;7;88;31;33;53;60;16;48;65
Budget analysts;13-2031;55;82;30;88;18;72;8;46;28;98;4;6;70;81;6;59;69
Credit analysts;13-2041;50;60;11;88;12;54;12;7;12;96;2;1;36;22;8;48;61
Financial and investment analysts[1];13-2051;66;57;46;85;70;46;5;81;45;95;1;0;90;87;12;77;88
Personal financial advisors;13-2052;66;57;46;85;70;46;5;81;45;95;1;0;90;87;12;77;88
Insurance underwriters;13-2053;46;59;26;73;66;53;23;24;11;69;3;2;76;35;23;42;68
Financial risk specialists[1];13-2054;51;91;71;88;7;62;15;1;30;99;2;3;73;54;19;54;78
Financial examiners;13-2061;57;58;15;98;19;26;1;44;83;90;6;3;78;36;3;70;87
Credit counselors;13-2071;88;73;49;66;73;42;30;74;17;88;4;6;82;17;1;67;66
Loan officers;13-2072;49;59;21;65;90;48;29;55;35;91;9;9;85;51;3;69;69
Tax examiners and collectors, and revenue agents;13-2081;60;70;27;68;86;75;29;55;34;90;12;12;54;36;8;59;69
Tax preparers;13-2082;71;84;22;59;53;77;31;48;17;88;13;7;44;42;3;37;58
Financial specialists, all other[1];13-2099;56;71;39;81;55;65;14;55;60;95;7;4;77;79;11;59;75
Computer systems analysts;15-1211;29;99;57;93;16;46;39;42;32;77;61;22;77;57;31;62;65
Information security analysts;15-1212;60;98;62;87;30;69;32;24;33;46;43;20;52;35;24;55;74
Computer and information research scientists;15-1221;42;100;91;99;24;16;37;28;38;93;46;7;82;78;81;58;73
Computer network support specialists;15-1231;78;97;54;73;27;74;41;47;22;31;69;30;54;49;20;50;50
Computer user support specialists;15-1232;75;98;66;65;29;66;60;57;50;31;73;35;67;42;29;72;74
Computer network architects;15-1241;42;99;69;95;19;52;31;7;53;86;58;21;86;71;55;57;76
Database administrators;15-1242;39;99;58;84;12;74;23;43;27;84;34;13;77;56;33;41;59
Database architects;15-1243;34;98;70;96;12;61;28;20;52;87;24;4;74;46;22;47;59
Network and computer systems administrators;15-1244;57;100;69;89;17;41;46;38;18;76;81;25;69;85;41;42;61
Computer programmers;15-1251;57;100;85;92;14;56;31;26;36;86;26;8;34;34;52;45;57
Software developers[1];15-1252;83;100;94;99;36;63;24;36;82;90;36;3;92;84;60;62;89
Software quality assurance analysts and testers;15-1253;64;100;68;91;10;67;29;24;46;63;33;5;42;42;44;52;71
Web developers;15-1254;52;99;91;81;20;57;43;8;25;72;27;6;60;53;21;47;51
Web and digital interface designers[1];15-1255;52;99;91;81;20;57;43;8;25;72;27;6;60;53;21;47;51
Computer occupations, all other[1];15-1299;67;99;81;92;26;60;36;38;57;73;52;20;79;68;45;58;73
Actuaries;15-2011;32;89;48;100;4;53;4;5;54;99;2;1;89;52;18;59;83
Mathematicians;15-2021;41;82;90;98;1;55;5;0;31;100;5;1;60;10;83;44;75
Operations research analysts;15-2031;55;93;91;100;10;35;6;6;30;100;3;0;96;40;72;59;92
Statisticians;15-2041;36;95;67;95;3;33;14;3;26;100;0;2;46;21;77;55;85
Data scientists[1];15-2051;36;95;67;95;3;33;14;3;26;100;0;2;46;21;77;55;85
Mathematical science occupations, all other[1];15-2099;42;94;75;98;6;36;11;4;29;100;1;1;71;28;73;57;88
Architects, except landscape and naval;17-1011;71;96;98;97;59;64;30;61;90;91;35;21;68;95;79;69;80
Landscape architects;17-1012;62;76;98;88;64;38;29;58;83;78;36;17;68;94;85;77;71
Cartographers and photogrammetrists;17-1021;26;96;69;58;39;61;55;17;31;74;41;22;44;44;32;39;67
Surveyors;17-1022;47;93;47;77;58;90;63;26;85;99;63;58;58;85;66;51;75
Aerospace engineers;17-2011;57;97;84;99;21;43;11;13;48;97;44;8;73;54;88;56;84
Agricultural engineers;17-2021;46;89;82;98;46;51;27;37;67;96;63;31;95;88;97;72;79
Bioengineers and biomedical engineers;17-2031;50;98;92;100;20;49;36;38;73;97;69;15;88;87;100;65;82
Chemical engineers;17-2041;41;96;87;99;18;86;20;10;69;99;52;9;90;85;100;47;64
Civil engineers;17-2051;43;67;61;96;48;69;19;17;81;98;30;18;78;96;88;61;66
Computer hardware engineers;17-2061;46;98;87;97;9;46;32;4;51;92;59;9;63;65;81;58;76
Electrical engineers;17-2071;68;98;78;91;27;74;32;30;69;93;59;25;90;95;83;60;86
Electronics engineers, except computer;17-2072;31;97;78;97;2;39;42;11;25;95;81;25;63;71;82;50;72
Environmental engineers;17-2081;45;63;69;87;42;19;7;34;76;94;47;19;67;89;95;66;86
Health and safety engineers, except mining safety engineers and inspectors;17-2111;72;69;69;90;52;66;24;58;79;84;54;35;89;71;93;77;86
Industrial engineers;17-2112;66;81;81;85;42;81;26;29;47;91;57;30;77;69;79;64;74
Marine engineers and naval architects;17-2121;36;66;74;93;23;78;37;16;55;96;60;39;78;73;89;57;72
Materials engineers;17-2131;47;80;89;93;35;42;41;30;84;96;59;23;56;87;97;60;77
Mechanical engineers;17-2141;56;87;85;96;32;63;33;34;46;98;65;23;90;70;93;44;54
Mining and geological engineers, including mining safety engineers;17-2151;50;95;68;98;24;61;18;31;81;97;40;23;93;93;87;63;88
Nuclear engineers;17-2161;35;79;41;99;11;92;15;4;44;97;58;14;80;64;97;67;80
Petroleum engineers;17-2171;51;82;77;94;21;31;19;48;62;92;41;11;91;94;90;61;80
Engineers, all other[1];17-2199;53;90;78;94;32;66;27;24;61;96;55;24;83;86;87;57;70
Architectural and civil drafters;17-3011;46;92;77;66;22;65;38;10;28;84;26;15;29;40;64;46;50
Electrical and electronics drafters;17-3012;34;95;56;57;17;57;38;22;14;77;46;23;41;49;67;41;59
Mechanical drafters;17-3013;42;93;78;59;12;77;44;14;10;93;48;19;38;29;77;32;42
Drafters, all other[1];17-3019;43;92;75;63;18;68;40;12;19;87;34;18;34;38;68;40;49
Aerospace engineering and operations technologists and technicians;17-3021;53;88;50;82;30;93;67;20;23;87;85;42;80;75;83;40;60
Civil engineering technologists and technicians;17-3022;46;78;63;71;47;26;32;40;23;97;43;26;41;62;85;48;63
Electrical and electronic engineering technologists and technicians;17-3023;48;95;60;74;29;70;59;27;42;85;84;36;63;69;79;36;51
Electro-mechanical and mechatronics technologists and technicians;17-3024;40;91;57;71;29;90;93;22;44;73;97;55;54;43;72;21;43
Environmental engineering technologists and technicians;17-3025;38;58;31;75;41;37;51;21;26;83;71;47;40;48;92;47;54
Industrial engineering technologists and technicians;17-3026;47;63;74;86;25;68;44;27;40;87;71;40;84;53;87;42;54
Mechanical engineering technologists and technicians;17-3027;28;70;60;76;30;85;61;26;55;92;84;53;66;57;81;52;68
Calibration technologists and technicians[1];17-3028;53;88;50;82;30;93;67;20;23;87;85;42;80;75;83;40;60
Engineering technologists and technicians, except drafters, all other[1];17-3029;45;83;62;77;32;67;50;29;38;90;74;39;63;61;84;41;57
Surveying and mapping technicians;17-3031;17;94;34;59;18;63;64;6;26;92;56;41;40;39;62;30;49
Animal scientists;19-1011;58;86;84;97;52;51;22;38;81;93;41;35;90;81;99;83;91
Food scientists and technologists;19-1012;48;65;85;87;16;47;32;28;69;88;48;35;65;75;98;63;81
Soil and plant scientists;19-1013;61;94;86;95;42;26;34;29;75;90;50;44;67;85;99;80;84
Biochemists and biophysicists;19-1021;93;96;96;99;4;84;48;19;83;98;64;27;89;82;100;68;99
Microbiologists;19-1022;66;90;58;95;11;97;61;23;69;80;51;31;62;82;97;60;96
Zoologists and wildlife biologists;19-1023;61;73;72;79;60;47;36;50;77;81;48;44;84;91;92;76;81
Biological scientists, all other[1];19-1029;77;92;84;96;16;85;49;28;77;93;56;33;82;86;99;67;97
Conservation scientists;19-1031;32;86;60;74;51;11;39;50;68;90;51;53;44;89;96;64;73
Foresters;19-1032;30;63;51;84;57;30;34;53;67;72;64;59;94;98;85;66;74
Epidemiologists;19-1041;53;85;88;100;38;49;8;57;83;97;6;6;94;78;90;93;99
Medical scientists, except epidemiologists;19-1042;76;77;89;96;4;75;45;54;64;90;38;19;84;62;97;74;86
Life scientists, all other[1];19-1099;70;85;84;94;16;70;43;43;72;91;49;31;80;79;98;71;90
Astronomers;19-2011;53;97;92;97;4;57;16;8;74;99;42;3;51;71;96;80;90
Physicists;19-2012;37;99;94;98;7;16;9;12;42;99;36;4;61;73;97;86;90
Atmospheric and space scientists;19-2021;78;90;63;91;33;40;21;23;60;91;15;10;77;47;94;91;95
Chemists;19-2031;55;84;57;88;18;77;45;20;65;96;68;37;63;77;98;46;78
Materials scientists;19-2032;49;95;87;98;9;50;31;11;62;95;55;15;64;72;99;63;91
Environmental scientists and specialists, including health;19-2041;63;85;35;88;54;19;11;40;52;81;35;31;51;68;95;76;88
Geoscientists, except hydrologists and geographers;19-2042;51;87;77;94;25;18;26;19;66;94;44;39;65;61;97;75;89
Hydrologists;19-2043;34;94;73;90;22;25;30;15;61;96;58;41;46;67;98;62;81
Physical scientists, all other[1];19-2099;56;90;61;90;30;40;26;24;59;94;51;33;59;71;96;64;85
Economists;19-3011;33;77;79;97;9;18;2;1;25;98;1;0;74;32;34;77;89
Survey researchers;19-3022;48;94;69;92;36;40;12;27;73;98;6;1;47;82;31;82;94
Industrial-organizational psychologists;19-3032;79;93;79;100;43;48;1;70;93;95;0;1;96;80;58;93;100
Clinical and counseling psychologists;19-3033;91;52;75;73;72;24;3;99;45;31;2;11;80;19;55;92;98
School psychologists;19-3034;87;45;57;76;43;22;9;90;40;74;6;8;73;6;42;85;88
Psychologists, all other[1];19-3039;89;50;69;78;59;25;5;95;47;57;4;8;80;14;50;90;96
Sociologists;19-3041;75;82;90;94;30;7;2;64;67;68;2;5;47;51;48;92;97
Urban and regional planners;19-3051;77;56;78;96;75;3;12;68;80;71;6;7;72;91;54;94;89
Anthropologists and archeologists;19-3091;57;90;77;90;25;39;39;42;67;69;27;43;39;73;78;89;100
Geographers;19-3092;44;91;76;91;27;7;6;32;34;73;19;18;41;39;84;79;94
Historians;19-3093;44;50;92;61;59;9;20;55;29;5;18;27;48;48;60;79;100
Political scientists;19-3094;65;60;80;90;16;10;0;33;35;65;5;1;54;41;39;97;99
Social scientists and related workers, all other[1];19-3099;81;54;72;83;55;19;7;84;53;64;5;10;74;32;50;90;95
Agricultural technicians;19-4012;48;56;65;49;26;87;59;58;58;92;68;49;36;79;95;35;60
Food science technicians;19-4013;33;63;15;48;8;72;58;16;82;69;52;41;45;37;89;37;58
Biological technicians;19-4021;58;85;52;75;1;66;57;13;7;79;57;43;18;56;94;48;62
Chemical technicians;19-4031;26;77;45;75;10;92;68;10;27;82;76;51;46;66;88;41;71
Environmental science and protection technicians, including health;19-4042;37;77;26;70;56;40;46;23;39;83;62;45;35;69;92;65;75
Geological technicians, except hydrologic technicians;19-4043;14;79;36;58;13;60;47;3;13;68;68;44;21;40;87;34;57
Hydrologic technicians[1];19-4044;34;94;73;90;22;25;30;15;61;96;58;41;46;67;98;62;81
Nuclear technicians;19-4051;58;63;6;61;4;99;58;8;35;76;84;57;43;23;92;61;48
Social science research assistants;19-4061;55;95;45;67;16;19;15;17;19;79;16;5;15;38;70;45;78
Forest and conservation technicians;19-4071;50;53;52;59;61;56;61;63;81;66;75;85;67;83;87;52;48
Forensic science technicians;19-4092;41;70;14;67;61;90;53;32;29;55;54;54;83;14;90;78;89
Life, physical, and social science technicians, all other[1];19-4099;44;77;42;66;17;69;52;22;30;78;60;45;36;56;89;48;65
Occupational health and safety specialists;19-5011;71;78;65;92;57;73;28;75;82;92;53;36;93;74;96;78;84
Occupational health and safety technicians;19-5012;60;89;52;82;51;63;33;68;77;66;52;44;75;75;94;69;71
Educational, guidance, and career counselors and advisors;21-1012;98;62;73;64;87;15;9;100;79;23;6;32;88;55;9;87;90
Marriage and family therapists;21-1013;95;67;81;77;76;6;1;99;22;5;5;15;96;13;42;85;79
